N,Instruction,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min Latency,Max Latency
119,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
121,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
122,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
124,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
125,AND_21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,AND_21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
127,AND_21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
128,AND_23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
129,AND_23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
130,AND_23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
144,AND_NOREX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
146,AND_NOREX_20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
147,AND_NOREX_22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
149,AND_REX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
151,AND_REX_20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,AND_REX_22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
154,BSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
156,BSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
158,BSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
160,BSR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
162,BSR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
164,BSR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
165,BSWAP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
166,BSWAP,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2
173,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
174,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
175,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
176,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
177,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
178,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
185,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
186,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
187,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
188,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
189,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
190,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
203,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
204,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
205,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
206,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
207,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
208,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
221,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
222,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
223,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
224,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
225,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
226,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
233,CBW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
234,CDQ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
235,CMC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
237,CMOVB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
239,CMOVB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
