Idx,Code,Instruction,Extension,OP0,OP1,OP2,OP3,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
159,MOVDDUP_XMMdq_MEMq+R128+M64,MOVDDUP,SSE3,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,0
160,MOVDDUP_XMMdq_XMMq+R128+R64,MOVDDUP,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
161,MOVDQ2Q_MMXq_XMMq+R64+R64,MOVDQ2Q,SSE2,MM,XMM,,,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0
162,MOVDQA_MEMdq_XMMdq+M128+R128,MOVDQA,SSE2,M128,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,2876
163,MOVDQA_XMMdq_MEMdq+R128+M128,MOVDQA,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,450830293
164,MOVDQA_XMMdq_XMMdq_0F6F+R128+R128,MOVDQA_0F7F,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1485589
165,MOVDQA_XMMdq_XMMdq_0F7F+R128+R128,MOVDQA_0F6F,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,MOVDQU_MEMdq_XMMdq+M128+R128,MOVDQU,SSE2,M128,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,161564283
167,MOVDQU_XMMdq_MEMdq+R128+M128,MOVDQU,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,5457388443
168,MOVDQU_XMMdq_XMMdq_0F6F+R128+R128,MOVDQU_0F7F,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,MOVDQU_XMMdq_XMMdq_0F7F+R128+R128,MOVDQU_0F6F,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,MOVD_GPR32_XMMd+R32+R32,MOVD,SSE2,R32,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,112999450
171,MOVD_MEMd_XMMd+M32+R32,MOVD,SSE2,M32,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,0
172,MOVD_XMMdq_GPR32+R128+R32,MOVD,SSE2,XMM,R32,,,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1465798
173,MOVD_XMMdq_MEMd+R128+M32,MOVD,SSE2,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,0
174,MOVHLPS_XMMq_XMMq+R64+R64,MOVHLPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
175,MOVHPD_MEMq_XMMsd+M64+R64,MOVHPD,SSE2,M64,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,0
176,MOVHPD_XMMsd_MEMq+R64+M64,MOVHPD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8,48050
177,MOVHPS_MEMq_XMMps+M64+R128,MOVHPS,SSE,M64,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,0
178,MOVHPS_XMMq_MEMq+R64+M64,MOVHPS,SSE,XMM,M64,,,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8,3111874
179,MOVLHPS_XMMq_XMMq+R64+R64,MOVLHPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
