n,inst ,lock,set_rex,segment,mem_xchg,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
274,CMOVNL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
275,CMOVNL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
276,CMOVNL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
277,CMOVNL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
278,CMOVNLE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
279,CMOVNLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
280,CMOVNLE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
281,CMOVNLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
282,CMOVNLE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
283,CMOVNLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
284,CMOVNO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
285,CMOVNO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
286,CMOVNO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
287,CMOVNO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
288,CMOVNO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
289,CMOVNO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
290,CMOVNP,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
291,CMOVNP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
292,CMOVNP,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
293,CMOVNP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
294,CMOVNP,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
295,CMOVNP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
