n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
178,VMASKMOVPD,0,0,1,0,1,0,0,0,0,1,0,0,0,11,14
179,VMASKMOVPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
180,VMASKMOVPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
181,VMASKMOVPS,0,0,1,0,1,0,0,0,0,1,0,0,0,11,14
182,VMASKMOVPS,0,0,1,0,1,0,0,0,0,1,0,0,0,11,14
183,VMASKMOVPS,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
184,VMASKMOVPS,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
185,VMAXPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
186,VMAXPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
187,VMAXPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
188,VMAXPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
189,VMAXPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
190,VMAXPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
191,VMAXPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
192,VMAXPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
193,VMAXSD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
194,VMAXSD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
195,VMAXSS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
196,VMAXSS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
197,VMINPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
198,VMINPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
199,VMINPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
200,VMINPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
201,VMINPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
202,VMINPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
203,VMINPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
204,VMINPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
205,VMINSD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
206,VMINSD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
207,VMINSS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
208,VMINSS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
209,VMOVAPD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
210,VMOVAPD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
211,VMOVAPD,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
212,VMOVAPD,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
213,VMOVAPD_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,VMOVAPD_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
215,VMOVAPD_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
216,VMOVAPD_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,VMOVAPS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
218,VMOVAPS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
219,VMOVAPS,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
220,VMOVAPS,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
221,VMOVAPS_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
222,VMOVAPS_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,VMOVAPS_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,VMOVAPS_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
225,VMOVD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
226,VMOVD,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
227,VMOVD,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
228,VMOVD,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
229,VMOVDDUP,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
230,VMOVDDUP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
231,VMOVDDUP,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
232,VMOVDDUP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
233,VMOVDQA,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
234,VMOVDQA,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
235,VMOVDQA,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
236,VMOVDQA,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
237,VMOVDQA_6F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,VMOVDQA_6F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,VMOVDQA_7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,VMOVDQA_7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,VMOVDQU,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
242,VMOVDQU,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
243,VMOVDQU,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
244,VMOVDQU,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
245,VMOVDQU_6F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,VMOVDQU_6F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,VMOVDQU_7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,VMOVDQU_7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,VMOVHLPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
250,VMOVHPD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
251,VMOVHPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
252,VMOVHPS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
253,VMOVHPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
254,VMOVLHPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
255,VMOVLPD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
256,VMOVLPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
257,VMOVLPS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
258,VMOVLPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
259,VMOVMSKPD,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
260,VMOVMSKPD,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5
261,VMOVMSKPS,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
262,VMOVMSKPS,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5
263,VMOVNTDQ,0,0,0,1,1,0,0,0,0,0,0,0,0,329,330
264,VMOVNTDQ,0,0,0,1,1,0,0,0,0,0,0,0,0,329,330
265,VMOVNTDQA,0,0,1,0,0,0,0,1,0,0,0,0,0,4,7
266,VMOVNTPD,0,0,0,1,1,0,0,0,0,0,0,0,0,329,330
267,VMOVNTPD,0,0,0,1,1,0,0,0,0,0,0,0,0,329,330
268,VMOVNTPS,0,0,0,1,1,0,0,0,0,0,0,0,0,329,330
269,VMOVNTPS,0,0,0,1,1,0,0,0,0,0,0,0,0,329,330
270,VMOVQ,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
271,VMOVQ,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
272,VMOVQ,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
273,VMOVQ,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
274,VMOVQ_7E,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
275,VMOVQ_D6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
276,VMOVSD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
277,VMOVSD,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
278,VMOVSD_10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
279,VMOVSD_11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
280,VMOVSHDUP,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
281,VMOVSHDUP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
282,VMOVSHDUP,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
283,VMOVSHDUP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
284,VMOVSLDUP,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
285,VMOVSLDUP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
286,VMOVSLDUP,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
287,VMOVSLDUP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
288,VMOVSS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
289,VMOVSS,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
290,VMOVSS_10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
291,VMOVSS_11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
292,VMOVUPD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
293,VMOVUPD,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
294,VMOVUPD,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
295,VMOVUPD,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
296,VMOVUPD_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297,VMOVUPD_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298,VMOVUPD_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299,VMOVUPD_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300,VMOVUPS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
301,VMOVUPS,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10
302,VMOVUPS,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
303,VMOVUPS,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
304,VMOVUPS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
