"","n","inst","lock","segment","p0156","p06","p23","p237","p4","p1","p15","p0","p05","min_lat","max_lat","count","pred_min","pred_max","pearson_min","pearson_max","raw_min","raw_max"
"693",692,"RCR","0",0,2,5,2,"0","1","1","1","0",0,6,17,0,15.7238925986301,31.8622468250287,0.0678280767449322,-0.761965272552476,-9.72389259863014,-14.8622468250287
"694",693,"RCR","0",0,2,5,2,"0","1","1","1","0",0,6,17,0,15.7238925986301,31.8622468250287,0.0678280767449322,-0.761965272552476,-9.72389259863014,-14.8622468250287
"696",695,"RCR","0",0,2,4,2,"0","1","1","0","0",0,6,17,0,14.521162058793,24.3526449384011,-0.242733158643373,-0.469942273384005,-8.52116205879301,-7.35264493840112
"697",696,"RCR","0",0,2,4,2,"0","1","1","0","0",0,6,16,0,14.521162058793,24.3526449384011,-0.164482619720444,-0.533856997584763,-8.52116205879301,-8.35264493840112
"698",697,"RCR","0",0,2,4,2,"0","1","1","0","0",0,6,16,0,14.521162058793,24.3526449384011,-0.164482619720444,-0.533856997584763,-8.52116205879301,-8.35264493840112
"699",698,"RCR","0",0,2,4,2,"0","1","1","0","0",0,6,17,0,14.521162058793,24.3526449384011,-0.242733158643373,-0.469942273384005,-8.52116205879301,-7.35264493840112
"700",699,"RCR","0",0,2,4,2,"0","1","1","0","0",0,6,16,0,14.521162058793,24.3526449384011,-0.164482619720444,-0.533856997584763,-8.52116205879301,-8.35264493840112
"701",700,"RCR","0",0,2,4,2,"0","1","1","0","0",0,6,16,0,14.521162058793,24.3526449384011,-0.164482619720444,-0.533856997584763,-8.52116205879301,-8.35264493840112
"889",888,"SGDT","0",0,0,4,1,"1","1","1","0","0",0,21,21,0,6.43797257562537,19.142312190805,2.83768904055691,0.144458672886338,14.5620274243746,1.85768780919505
"968",967,"SIDT","0",0,0,3,1,"1","1","1","0","0",0,21,21,0,5.78580318621518,17.4639238175989,3.11468358077261,0.296205489353397,15.2141968137848,3.53607618240107
"969",968,"SLDT","0",0,0,5,1,"0","1","1","0","0",0,11,11,0,17.0898593835841,13.5066666280297,-0.183933155191125,-0.258273274473784,-6.08985938358411,-2.50666662802968
"971",970,"STOSB","0",0,1,0,1,"0","1","0","0","0",0,0,6,0,6.7964228397177,7.11561606948816,-1.10411745678396,-0.190846024312892,-6.7964228397177,-1.11561606948816
"972",971,"STOSD","0",0,1,0,1,"0","1","0","0","0",0,0,5,0,6.7964228397177,7.11561606948816,-0.89467979822674,-0.361913858070836,-6.7964228397177,-2.11561606948816
"973",972,"STOSW","0",0,1,0,1,"0","1","0","0","0",0,0,6,0,6.7964228397177,7.11561606948816,-1.10411745678396,-0.190846024312892,-6.7964228397177,-1.11561606948816
"1049",1048,"VERR","0",1,0,10,0,"0","0","1","0","1",0,61,61,0,51.4447905319267,28.5280600548669,-1.96222825031938,1.82311159168612,9.55520946807326,32.4719399451331
"1050",1049,"VERR","0",1,0,10,0,"0","0","1","0","1",0,62,68,0,51.4447905319267,28.5280600548669,-2.41515230761324,2.21612109969106,10.5552094680733,39.4719399451331
"1051",1050,"VERW","0",1,0,0,0,"0","0","1","0","1",0,63,63,0,17.6801824671111,11.3958460523301,-3.85416520510814,6.09053854058379,45.3198175328889,51.6041539476699
"1052",1051,"VERW","0",1,0,0,0,"0","0","1","0","1",2,64,69,0,17.6801824671111,11.3958460523301,-4.64165479979609,6.79868368875462,46.3198175328889,57.6041539476699
"1076",1075,"XCHG_NOREX","0",0,3,2,2,"0","1","0","0","0",0,12,30,0,7.95608971566987,16.8953877465454,-0.693473101370893,1.12751369240066,4.04391028433013,13.1046122534546
"1077",1076,"XCHG_REX","0",0,3,2,2,"0","1","0","0","0",0,12,30,0,7.95608971566987,16.8953877465454,-0.693473101370893,1.12751369240066,4.04391028433013,13.1046122534546
"1078",1077,"XCHG","0",0,3,2,2,"0","1","0","0","0",0,12,30,0,7.95608971566987,16.8953877465454,-0.693473101370893,1.12751369240066,4.04391028433013,13.1046122534546
"1079",1078,"XCHG","0",0,3,2,2,"0","1","0","0","0",0,12,29,0,7.95608971566987,16.8953877465454,-0.588135344172539,1.0414742376962,4.04391028433013,12.1046122534546
"1080",1079,"XCHG","0",0,3,2,2,"0","1","0","0","0",0,12,29,18655250,7.95608971566987,16.8953877465454,-0.588135344172539,1.0414742376962,4.04391028433013,12.1046122534546
